Sentence,SymptomCriticality,Symptom,Drug
"but not so - hair thinning is getting worse, getting more tired, feet and hands and legs hurt more, etc.",Symptoms are possibly bad: symptoms mentioned but no verb found,tired,armimidex
"comment:increasing amount of bone pain (hips, knees, ankles, hands) and total lack of strength.",Symptoms are possibly bad: symptoms mentioned but no verb found,bone pain,armimidex
joint pain remains a problem.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
"head aches pain in the right eye, when i told my dr.",Symptoms are bad: Presence of negative verb + symptoms,pain,armimidex
"comment:they should have named it ""arimideath"" this is a horrible med and causes prolonged painful side effects.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
my oncologist changed me to femara but the pain in my knees and hips were worse than on the arimidex so i switched back.hide full comment,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
as with many other ladies i have experienced joint pain in my hips and knees.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
"i also have noticed hair loss, insomnia and constipation.",Symptoms are possibly bad: symptoms mentioned but no verb found,constipation,armimidex
"some discomforts like hot flashes, body aches, etc.",Symptoms are possibly bad: symptoms mentioned but no verb found,hot flashes,armimidex
"comment:have been on arimidex for almost 3 years and did not have some of the problems reported by others., when pain in my arm & shoulder developed for no apparent reason i stopped taking arimidex for a little over one month.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"i then went back on it a few months ago but for the past week the pain (when i move) in my lower back, left hip and knee is unbearable.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"has anyone tolerated it for a long period of time, then believe the extreme pain is caused by the arimidex?",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"hot flashes are less than tamox, bone pain and insomnia, but i can tolerate anything to keep cancer away.hide full comment",Symptoms are bad: Presence of negative verb + symptoms,bone pain,armimidex
"really bad joint and muscle pain, esp around hip area, bad flashes, dryness.",Symptoms are possibly bad: symptoms mentioned but no verb found,muscle pain,armimidex
"headache, more fatigue, depression, and can hardly walk sometimes.",Symptoms are possibly bad: symptoms mentioned but no verb found,fatigue,armimidex
"started arimidex in dec 2007, have just starting having the numbness in one hand and then my feet, hot flashes, joint pain (mainly ankle) very stiff, will get through this, glad to know that others have the numbness that was really begin to worry me.",Symptoms are bad: Presence of negative verb + symptoms,hot flashes,armimidex
"weight gain, headaches, legs hurt and even breast pain now.",Symptoms are bad: Presence of negative verb + symptoms,breast pain,armimidex
i take pain meds for other conditions which helps with the leg pain(bone pain).,Symptoms are possibly bad: symptoms mentioned but no verb found,bone pain,armimidex
"comment:joint pain, ankles and back only 8 months left out of the five years.",Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
maybe some joint pain.,Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
"i did experience frozen and very painful joints after taking it for a month, i felt like an old woman, i could hardly get up from my chair.",Symptoms are bad: Presence of negative verb + symptoms,pain,armimidex
i searched on google and i read somewhere that this drug depletes your body from vitamin d (already low in many women with breast cancer) and that vitamin d could stop the painful side effects.,Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
i am also experiencing excruciating back and joint pain.,Symptoms are bad: Presence of negative verb + symptoms,joint pain,armimidex
"pain in feet so bad i can barely stand or walk, pain in both knees makes it difficult to walk up and down stairs, pain in both shoulders, memory so bad it frightens me.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
glad i found these posting which helped me understand where all this pain came from so quickly.,Symptoms are ok: Presence of positive verb + symptoms,pain,armimidex
"doctor took me off arimidex, put me on aromisin for two weeks, no improvement of pain, then back on tamoxifen.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"comment:i have been taking arimidex for a year now and have experienced only joint pain in my hands, some carpal tunnel syndrome-like symptoms and pain in knees when i sit too long and get up.",Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
"comment:after taking arimidex for the past 6 months, the only real complaint i have is terrible lower back pain, and some hip pain, especially in the early a.m.",Symptoms are possibly bad: symptoms mentioned but no verb found,back pain,armimidex
"i'm not getting used to the pain at all, and don't know how i will make it for the full 5 yrs.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"i couln't stand the pain in my fingers,knees and hips.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
"comment:joint pain, trouble sleeping,weak bones glad my time for taking this drug is almost uphide full comment",Symptoms are possibly bad: symptoms mentioned but no verb found,joint pain,armimidex
"comment:i've experienced lots of hand pain,trigger finger in my both thumbs, my right thumb i can't even bend it any more and its very pain full.i stopped taking it after a year and  half.i also gainedwight while taking this medicine.",Symptoms are possibly bad: symptoms mentioned but no verb found,pain,armimidex
