Post,Sentence,SymptomCriticality,Symptom,Drug
"Other than hot flashes, it has worked for me","other than hot flashes, it has worked for me","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"Started on Tamoxifen on August 1 after lumpectomy and mammosite radiation.  OncoDX test resulted in low recurrance level. Oncologist recommended tamoxifen instead of chemo.  I have experienced weight gain and made an appt. with a weight mgmt/nutrionist doctor to address this issue.  Hopefully she can put me on a helathy diet that will result in weight loss.  ","hopefully she can put me on a helathy diet that will result in weight loss.  ","Symptoms are possibly bad: symptoms mentioned but no verb found","weight loss",tamoxifen
"I wrote the post on August 6th stating that I was discontinuing the drug.  It's been 13 days and while I don't see immediate results, I'm staying off of it.  I gained 16 pounds since January and now find it really hard to lose.  The hot flashes seemed to have subsided, now let's see about the sex drive. The vaginal discharge was horrible for about 3 months but seemed to have gotten better.  If I hadn't read the comments on this site, I never would have stopped taking it.  I think while it may be great for some, it was horrible for me.  Thanks again everyone.","the hot flashes seemed to have subsided, now let\'s see about the sex drive.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I, like many women on this site, was diagnosed with early breast cancer a year ago.  I had the Mammosite Radiation procedure and a lumpectomy.  
The Oncologist put me on Tamoxofen for 5 years.  In the 9 months that I have been taking this horrible drug, I have had the following side effects:  Loss of sexual desire, vaginal dryness, vaginal discharge, hot flashes, weight gain, fatigue (no matter how much I sleep), and a feeling of being mentally foggy.
As of today, I am going to stop taking it.  After reading everyone's comments, I feel I would be better off seeing if I get my energy back, lose the weight I put on and regain my sex drive.
The negatives far outweigh the positives for me.
Thanks to everyone who took the time to input their comments.","in the 9 months that i have been taking this horrible drug, i have had the following side effects:  loss of sexual desire, vaginal dryness, vaginal discharge, hot flashes, weight gain, fatigue (no matter how much i sleep), and a feeling of being mentally foggy.","Symptoms are possibly bad: symptoms mentioned but no verb found",fatigue,tamoxifen
"pain at the top and bottom of long bones in the legsand arms and also the feet I feel it relates to possible dietary interaction.  once the pain starts it takes several weeks to go away","once the pain starts it takes several weeks to go away","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,tamoxifen
"i'm 47 and have been diagnosed with breast cancer in '99, '06, & '07.  I had 2 lumpectomies, radiation, and bilateral mastectomies.  i've been taking tamoxifen for about a year and a half i think.  i had no peri-menopausal symptoms prior to taking it.  i still don't have hot flashes, night sweats, or anything like that, but my period trickled off and now i've only had 1 period in the past year.  my gynocologist said i have plenty of hormones and am not peri or menopausal.  i never thought i'd miss my period ... i think i've been somewhat depressed since i started taking it.  i've had some very squishy weight gain.  i've had all kinds of gynecological issues that i never use to have.  i've been diagnosed with lichen sclerosis.  i have an ongoing yeast infection and i don't have a history of them.  at least i had a good sex life til i was diagnosed with those, now it hurts to have sex.  i wish i knew more pre-menopausal women on tamoxifen to talk to.  i hate this med but my oncologist doesn't seem to want to talk about anything else.   i don't know if the medicine is ""effective"" for me until i live the rest of my life without getting breast cancer again so i rated that a ""1"".  sure, the medication is ""easy"" to use, i swallow a pill every day.  i'm not sure if tamoxifen is causing my gynecological problems, depression, weight gain, and tiredness, but in case it is, i'll rate ""ease of use"" a ""1"", too.  damn.  i didn't realize how much i sounded like eeyore.  ","i still don\'t have hot flashes, night sweats, or anything like that, but my period trickled off and now i\'ve only had 1 period in the past year.","Symptoms are ok: Presence of positive verb + symptoms","hot flashes",tamoxifen
"While treating for early stage breast cancer after lumpectomy and radiation, had to take this drug. Worst side effects ever. Uncontrollable hot flashes, horrible weight gain, pains and aches. Hot flashes were not controllable even after effexor. Doctor switched me to Evista and although the weight gain is bad, the effects of evista are hardly anything. Am happy i am off the tamoxifen.  Evista has been approved for early stage breast cancer and i am feeling MUCH better, heavier, but better!!","uncontrollable hot flashes, horrible weight gain, pains and aches.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"While treating for early stage breast cancer after lumpectomy and radiation, had to take this drug. Worst side effects ever. Uncontrollable hot flashes, horrible weight gain, pains and aches. Hot flashes were not controllable even after effexor. Doctor switched me to Evista and although the weight gain is bad, the effects of evista are hardly anything. Am happy i am off the tamoxifen.  Evista has been approved for early stage breast cancer and i am feeling MUCH better, heavier, but better!!","hot flashes were not controllable even after effexor.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I am 51 and had lumpectomy in June 07 and had 7 weeks of radiation.  Have been on Tamoxifen for 7 months.  Had slight hot flashes for a few months but have since subsided.  No other symptoms at the moment.","had slight hot flashes for a few months but have since subsided.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"Diagnosed 2/07 with DCIS stg 1.  Her2/neu positive receptor posit. Recurrance test 70% it would return. Lump/chemo/Radiation.  Been on Tamox 6 months. Pins/needles type hot flashes went away after 90 days what a relief. Feet/Leg cramps severe.  Started exercising 4weeks into radiation.  Now training for a marathon but have noticed belly weight gain the more I exercise. Will talk with Dr at next visit about this.  Anyone have the same?  ","pins/needles type hot flashes went away after 90 days what a relief.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I was diagnosed at age 44 with early stage breast cancer..had lumpectomy and radiation..I was on Tamoxifen for 5 years 2003-2008 and went through hot flashes and some vagingal discharge, but the worst side effect for me was joint pain...mostly in my hands, but sometimes wrists, elbows and shoulders...since my last pill, I have had no significant joint pain.
I am pre-menupausal (sp?) whether that is significant or not..what bothered most was that no doctors admit that joint pain is a side effect of the drug...I suppose if the cancer does not come back, it was worth the agony for the five years. Thank the Lord, I am cancer free at this time!","i was diagnosed at age 44 with early stage breast cancer..had lumpectomy and radiation..i was on tamoxifen for 5 years 2003-2008 and went through hot flashes and some vagingal discharge, but the worst side effect for me was joint pain...mostly in my hands, but sometimes wrists, elbows and shoulders...since my last pill, i have had no significant joint pain.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I was diagnosed at age 44 with early stage breast cancer..had lumpectomy and radiation..I was on Tamoxifen for 5 years 2003-2008 and went through hot flashes and some vagingal discharge, but the worst side effect for me was joint pain...mostly in my hands, but sometimes wrists, elbows and shoulders...since my last pill, I have had no significant joint pain.
I am pre-menupausal (sp?) whether that is significant or not..what bothered most was that no doctors admit that joint pain is a side effect of the drug...I suppose if the cancer does not come back, it was worth the agony for the five years. Thank the Lord, I am cancer free at this time!","whether that is significant or not..what bothered most was that no doctors admit that joint pain is a side effect of the drug...i suppose if the cancer does not come back, it was worth the agony for the five years.","Symptoms are bad: Presence of negative verb + symptoms","joint pain",tamoxifen
"Tamoxifen side effects were worse than the chemotherapy and radiation treatments. I was not able to sleep. I was extremely depressed. The hot flashes were uncontrollable.","the hot flashes were uncontrollable.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I had been taking estrogen injections for 24 years until my breast cancer diagnosis. Off the HRT, I began having severe, frequent hot flashes. After mastectomy and 2 doses of chemo(I felt like more would kill me it was so horrible), I've been on Tam for a month.
The hot flashes are even worse despite using  Vit E, Black Cohash, & now trying Clonidine and Gabapentin: mood swings and depression plus worsened (long term) insomnia.  I must decide if living this way is worthwhile. I may opt to go off Tam and back on estrogen.","the hot flashes are even worse despite using  vit e, black cohash, & now trying clonidine and gabapentin: mood swings and depression plus worsened (long term) insomnia.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"When I get hot I feel like a hundred bees are sting me.  Had hot flashes and up the effexor xr to 75mg and much better.  I have stop taking it for the last three weeks and I feel alot better, mind has cleared up but i still have the stinging.  Doctor doesn't know what is causing this think maybe reaction to one of the drugs that I take (herceptin, tamoxifen and effexor xr75mg.  Any suggestions? ","had hot flashes and up the effexor xr to 75mg and much better.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I was diagnosed with Stage 2 Grade 3 Ductal Carcinoma at age 39. Had chemotherapy first, then lumpectomy, then radiation, then tamoxifen. Been on and off Tamoxifen since July 2007. Finally reached the point where I can't take it anymore. I have foot cramps and sometimes leg cramps. My menstrual flows are inconsistent with heavy bleeding. I have experienced terrible hot flashes and nausea. I was given effexor which adds to my fatigue and too much increases nausea. The worse symptom is the extreme fatigue. It makes me feel like I am becoming ill, and it happens at various times of the day, sometimes only one time per week, sometimes multiple times. The doctor has tested my thyroid and blood sugar, but can't help me. I want to give up even though the doctor tells me it is dangerous for me not to take the pill.","my menstrual flows are inconsistent with heavy bleeding.","Symptoms are possibly bad: symptoms mentioned but no verb found",bleeding,tamoxifen
"I was diagnosed with Stage 2 Grade 3 Ductal Carcinoma at age 39. Had chemotherapy first, then lumpectomy, then radiation, then tamoxifen. Been on and off Tamoxifen since July 2007. Finally reached the point where I can't take it anymore. I have foot cramps and sometimes leg cramps. My menstrual flows are inconsistent with heavy bleeding. I have experienced terrible hot flashes and nausea. I was given effexor which adds to my fatigue and too much increases nausea. The worse symptom is the extreme fatigue. It makes me feel like I am becoming ill, and it happens at various times of the day, sometimes only one time per week, sometimes multiple times. The doctor has tested my thyroid and blood sugar, but can't help me. I want to give up even though the doctor tells me it is dangerous for me not to take the pill.","i was given effexor which adds to my fatigue and too much increases nausea.","Symptoms are possibly bad: symptoms mentioned but no verb found",fatigue,tamoxifen
"I was diagnosed with Stage 2 Grade 3 Ductal Carcinoma at age 39. Had chemotherapy first, then lumpectomy, then radiation, then tamoxifen. Been on and off Tamoxifen since July 2007. Finally reached the point where I can't take it anymore. I have foot cramps and sometimes leg cramps. My menstrual flows are inconsistent with heavy bleeding. I have experienced terrible hot flashes and nausea. I was given effexor which adds to my fatigue and too much increases nausea. The worse symptom is the extreme fatigue. It makes me feel like I am becoming ill, and it happens at various times of the day, sometimes only one time per week, sometimes multiple times. The doctor has tested my thyroid and blood sugar, but can't help me. I want to give up even though the doctor tells me it is dangerous for me not to take the pill.","the worse symptom is the extreme fatigue.","Symptoms are possibly bad: symptoms mentioned but no verb found",fatigue,tamoxifen
"Almost 3 years after treating stage 2 cx with chemo and radiation and then Tam. I have been told of yet another side effect. I now have a heart condition called cardiomyopathy. I am only 41 and too young to feel this old! I am grateful that I will soon be off Tam (by the way also probably was a major contributor to extreme heavy bleeding which lead to a partial hyst.) and on to an AI. All you who are younger watch your heart! Get a baseline EKG ASAP.","i am grateful that i will soon be off tam (by the way also probably was a major contributor to extreme heavy bleeding which lead to a partial hyst.)","Symptoms are ok: Presence of positive verb + symptoms",bleeding,tamoxifen
"I had stage 2 breast cancer, had bi-lateral mastectomy, chemo.  Started taking Tamoxifen 3 months ago.  Hot flashes for first month then no side effects at all.  My periods stopped during my chemo and came back this past week.  I'm am concerned why they have come back and now considering hystorectomy.  Going to the doctor soon to have questions answered.  ","hot flashes for first month then no side effects at all.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I've been on Tamoxifen for 2 1/2 years for Stage 3 Breast Cancer following bi-lateral mastectomy, chemo and radiation. The hot flashes are tough and I've gained about 10 pounds but that is probably due to lack of exercise and poor eating habits. I have terrible back pain and nerve pain (not sure if it is attributable to Tamoxifen). Some vaginal discharge but most of my symptoms of leg cramps and muscle pain have subsided with time. I have had emotional issues but those too seem to have gotten better with time. My Dr. told me hot flashes are a good thing because they mean the Tamoxifen is working - that makes them bearable. I'll take the side effects if it means I get to see my kids grow up!","the hot flashes are tough and i\'ve gained about 10 pounds but that is probably due to lack of exercise and poor eating habits.","Symptoms are ok: Presence of positive verb + symptoms","hot flashes",tamoxifen
"I've been on Tamoxifen for 2 1/2 years for Stage 3 Breast Cancer following bi-lateral mastectomy, chemo and radiation. The hot flashes are tough and I've gained about 10 pounds but that is probably due to lack of exercise and poor eating habits. I have terrible back pain and nerve pain (not sure if it is attributable to Tamoxifen). Some vaginal discharge but most of my symptoms of leg cramps and muscle pain have subsided with time. I have had emotional issues but those too seem to have gotten better with time. My Dr. told me hot flashes are a good thing because they mean the Tamoxifen is working - that makes them bearable. I'll take the side effects if it means I get to see my kids grow up!","i have terrible back pain and nerve pain (not sure if it is attributable to tamoxifen).","Symptoms are possibly bad: symptoms mentioned but no verb found","back pain",tamoxifen
"I've been on Tamoxifen for 2 1/2 years for Stage 3 Breast Cancer following bi-lateral mastectomy, chemo and radiation. The hot flashes are tough and I've gained about 10 pounds but that is probably due to lack of exercise and poor eating habits. I have terrible back pain and nerve pain (not sure if it is attributable to Tamoxifen). Some vaginal discharge but most of my symptoms of leg cramps and muscle pain have subsided with time. I have had emotional issues but those too seem to have gotten better with time. My Dr. told me hot flashes are a good thing because they mean the Tamoxifen is working - that makes them bearable. I'll take the side effects if it means I get to see my kids grow up!","some vaginal discharge but most of my symptoms of leg cramps and muscle pain have subsided with time.","Symptoms are possibly bad: symptoms mentioned but no verb found","muscle pain",tamoxifen
"I've been on Tamoxifen for 2 1/2 years for Stage 3 Breast Cancer following bi-lateral mastectomy, chemo and radiation. The hot flashes are tough and I've gained about 10 pounds but that is probably due to lack of exercise and poor eating habits. I have terrible back pain and nerve pain (not sure if it is attributable to Tamoxifen). Some vaginal discharge but most of my symptoms of leg cramps and muscle pain have subsided with time. I have had emotional issues but those too seem to have gotten better with time. My Dr. told me hot flashes are a good thing because they mean the Tamoxifen is working - that makes them bearable. I'll take the side effects if it means I get to see my kids grow up!","my dr. told me hot flashes are a good thing because they mean the tamoxifen is working - that makes them bearable.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I've been on the tamoxifen for almost 2yrs. The hot flashes/night sweats are unbearable.  I can't sleep sweating all night.  I actually sleep with Ice packs, fans, etc.  I have put on so much weight and I don't eat more than I used too.  I am so miserable.  I don't have the major mood swings of menopause because I take effexor, which helps.  I can't believe they can't find a ""cure"" for the hot flashes/night sweats.  The doctors just shrug, ""Oh, well""...  This is no life, I spend the summer inside and very rarely leave the house and I'm only 43...  It's so embarrassing having a hot flash at the grocery store, they look at me like I'm nuts...  I'd rather go through Chemo again than live like this...","i can\'t believe they can\'t find a ""cure"" for the hot flashes/night sweats.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"My biggest side effect is vaginal discharge/yeast type issues.  Has anyone else had this problem?","my biggest side effect is vaginal discharge/yeast type issues.","Symptoms are possibly bad: symptoms mentioned but no verb found","vaginal discharge",tamoxifen
"my life has been miserable since I started taking this drug in august.  I am trying to get through this but I am at my wits end.  Started walking and dieting and still weight gain. I can live with that but the hot flashes are unbearable.  I can put up with most side effects from my medications, this is the first to throw me a loop. Havent had a good sleep since starting tamoxifen{two fans in bedroom, window open in winter  zero temperatures] wearing shorts and halters in daytime.  I just want to cry.I was always an easy going,happy  person, now I am tired ,hot and cranky. seeing doctor next week to see if some medication help or change will work. considering going off the drug as I cant live like this.","i just want to cry.i was always an easy going,happy  person, now i am tired ,hot and cranky.","Symptoms are possibly bad: symptoms mentioned but no verb found",tired,tamoxifen
"The first 60 days I experienced severe joint pain and heavy feeling in muscles-aching and mental foggines. I thought you gotta be kidding me.  All those symptoms disappeared after 60 days. I hung in there to give it enough time for my body to synthesize to the medication. The only remarkable issue I am having is a burning sensation around the vulva which I have never experienced prior to using this drug.  Can't seem to get a straight answer from anyone if it is related to the drug.  I will say this-I quit smoking recently using Chantix and I do think it has had a positive effect on mood enhancement due to the way it works with the dopamine receptors in the brain.  The mental fog has cleared that I was experiencing after treatment and early use of tamoxifen and I feel much more like I use to before cancer! ","the first 60 days i experienced severe joint pain and heavy feeling in muscles-aching and mental foggines.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",tamoxifen
"I have been on this med for 4 plus years and will soon be changing to Femara....I have lost 30 pounds by changing my eating habits and reducing stress in my life...Minor hot flashes on occasion, with no prob because I already handled that when I went thru menopause. As I change meds and check this site, I find NEGATIVE remarks prevail and I wanted to assure someone to trust the med and stay positive..it could save your life.","i have been on this med for 4 plus years and will soon be changing to femara....i have lost 30 pounds by changing my eating habits and reducing stress in my life...minor hot flashes on occasion, with no prob because i already handled that when i went thru menopause.","Symptoms are bad: Presence of negative verb + symptoms","hot flashes",tamoxifen
"Taking for 5 months, unable to lose weight I gained despite strict diet and 5-6 days/wk of exercise.  Have not slept since I've been on it, sleep 20 mins up 45.  Leg cramps, night sweats and hot flashes keep me company while I'm not sleeping.  My cancer was caught early, slow growing and non-invasive.  I'm going to take my chances without tamoxifen - the quality of my life means more to me than the fear of a reoccurrence.  If my cancer had been more aggressive, or if my treatment had been more intense, I might reconsider.","leg cramps, night sweats and hot flashes keep me company while i\'m not sleeping.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I have been on the Tamoxifen since April 2007. I am having stiffness in my joints, very mild hot flashes and trouble sleeping.
Not an issue if this prevents the cancer from returning","i am having stiffness in my joints, very mild hot flashes and trouble sleeping.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I took the drug for 2 years.I started bleeding very bad(thank God my uterus was not cancerous)I had hot flashes so bad to where they kept me from a restful sleep,charley horses were painful and I felt I was depressed.Been off the med for a year now,few mild hot flashes,no charley horses,not depressed,no bleeding ,feel better.","i took the drug for 2 years.i started bleeding very bad(thank god my uterus was not cancerous)i had hot flashes so bad to where they kept me from a restful sleep,charley horses were painful and i felt i was depressed.been off the med for a year now,few mild hot flashes,no charley horses,not depressed,no bleeding ,feel better.","Symptoms are ok: Presence of positive verb + symptoms",bleeding,tamoxifen
"Hate Tamoxifen with a passion - severe side effects - hot flashes, mood swings, weight gain, cramps, memory loss, forgetfulness, loss of motivation.  How come it prevents breast cancer when it is possible to cause three other types of cancer???? Shouldn't it prevent ALL cancers????
If I am on it to stop estrogen dominance, why can't I use natural progesterone cream instead which would do the same job WITHOUT the side effects.?????
Am seeing Specialist tomorrow and WILL NOT USE IT ANY MORE.","hate tamoxifen with a passion - severe side effects - hot flashes, mood swings, weight gain, cramps, memory loss, forgetfulness, loss of motivation.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"This is my 4th year taking this drug.  Cancer has not returned!  Prasie God! There has been some weight gain and major hot flashes, being treated with Effexor.  I may just move to a cold state.","there has been some weight gain and major hot flashes, being treated with effexor.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"I have been taking Tamoxifen for 6 months following lumpectomy, chemo and radiation for Grade 1 Stage 2 Lobular Carcinoma. Have hot flashes day and night (reduced by using Black Cohosh). Weight gain as well, but dealing with that. Otherwise, no significant negative side effects. Positive - no more menstrual cycles.","have hot flashes day and night (reduced by using black cohosh).","Symptoms are ok: Presence of positive verb + symptoms","hot flashes",tamoxifen
"Experienced all the symptoms of meno-pause plus severe headaches. Never had headaches prior to taking the RX. They are so severe at times  that I have decided to stop treatment.( for the second time) ","experienced all the symptoms of meno-pause plus severe headaches.","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,tamoxifen
"Experienced all the symptoms of meno-pause plus severe headaches. Never had headaches prior to taking the RX. They are so severe at times  that I have decided to stop treatment.( for the second time) ","never had headaches prior to taking the rx.","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,tamoxifen
"I have taken this drug for 2 wks and seem to have every horrible side effect.  vision problems, nausea, vomiting, bone pain, fatigue, headaches, dizziness, clumsy, etc.  I can only stand to take it every other day.  I have an appt with my doctor tomorrow and hope to get some help.  This is much worse than the blistering and burning from radiation, which was pretty bad due to having very fair skin.","vision problems, nausea, vomiting, bone pain, fatigue, headaches, dizziness, clumsy, etc.","Symptoms are bad: Presence of negative verb + symptoms","bone pain",tamoxifen
"Been on Tamox. 3 years. I have had very few unbearable symptoms.  Hot flashes (but nothing like the chemo flashes), weight gain, vaginal dryness and odor.  I have the foot and leg cramps occasionally and have just started having some joint pain.  Reading the other reviews helped me realize that it was probably the Tamoxifen causing this.  ","hot flashes (but nothing like the chemo flashes), weight gain, vaginal dryness and odor.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"Been on Tamox. 3 years. I have had very few unbearable symptoms.  Hot flashes (but nothing like the chemo flashes), weight gain, vaginal dryness and odor.  I have the foot and leg cramps occasionally and have just started having some joint pain.  Reading the other reviews helped me realize that it was probably the Tamoxifen causing this.  ","i have the foot and leg cramps occasionally and have just started having some joint pain.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",tamoxifen
"Used for 11 months. Fatigue, foot cramps, weight gain, malaise, depression, hot flashes...chose quality of life over quantity. been off the meds for 5 months, feel much better. Praying for no recurrence.","fatigue, foot cramps, weight gain, malaise, depression, hot flashes...chose quality of life over quantity.","Symptoms are possibly bad: symptoms mentioned but no verb found",fatigue,tamoxifen
"Have used for 3+1/2 years. Hot flashes, joint aches and fatigue from beginning. Dry skin, vaginal discharge and horrible ankle and foot cramps later. Interfered with sexual function (helped by Estring). Overall, well worth it,--no recurrence of stage 2 cancer.","hot flashes, joint aches and fatigue from beginning.","Symptoms are possibly bad: symptoms mentioned but no verb found",fatigue,tamoxifen
"Have used for 3+1/2 years. Hot flashes, joint aches and fatigue from beginning. Dry skin, vaginal discharge and horrible ankle and foot cramps later. Interfered with sexual function (helped by Estring). Overall, well worth it,--no recurrence of stage 2 cancer.","dry skin, vaginal discharge and horrible ankle and foot cramps later.","Symptoms are possibly bad: symptoms mentioned but no verb found","dry skin",tamoxifen
"this is my 4th years on the drug but i did not know leg cramps were a side effect and i now am having break thru bleeding in the vagina","this is my 4th years on the drug but i did not know leg cramps were a side effect and i now am having break thru bleeding in the vagina","Symptoms are possibly bad: symptoms mentioned but no verb found",bleeding,tamoxifen
"Seem to have ""charley horses"" both day and night(sometimes waking me out of a solid sleep). This is not happening all the time, but when it hits, it's extreme.","seem to have ""charley horses"" both day and night(sometimes waking me out of a solid sleep).","Symptoms are possibly bad: symptoms mentioned but no verb found","charley horse",tamoxifen
"I stayed on Tamoxifen for 5 yrs.  I had hair lost, hot flashes all the time and I got cancer again on my 5th year while taking tamoxifen.  The only good thing was it stop my menstrual cycle for 5yrs.","i had hair lost, hot flashes all the time and i got cancer again on my 5th year while taking tamoxifen.","Symptoms are bad: Presence of negative verb + symptoms","hot flashes",tamoxifen
"Have taken this drug for 3 and 1/2 years. Hot flashes are horrible. Sometimes they seem constant. Weight gain initially, but am now losing slowly. Also had headaches at begining, daily. Now about a few times a month.","also had headaches at begining, daily.","Symptoms are possibly bad: symptoms mentioned but no verb found",headache,tamoxifen
"I have been taking this for the past 2 years and have done well on it. I have hot flashes sporatically, but that's all. I have also gained 15-20 lbs but don't think it's due to the drug.","i have hot flashes sporatically, but that\'s all.","Symptoms are possibly bad: symptoms mentioned but no verb found","hot flashes",tamoxifen
"STARTED ARIMIDEX AUG 2014. FEB/MAR TO OCT 2015 SEVERE FATIGUE, MUSCLE WEAKNESS.SWELLING OF KNEES AND ANKLES AND FEET. FIRST WEEK OF OCT HAD SEVERE BONE PAIN IN FINGERS AND TOES. OCT 10 HAD A LITTLE PROBLEM WALKING. WOKE UP  NEXT DAY WITH NUMB FINGERS AND HANDS, FEET AND TOES. PAIN AND PINS AND NEEDLES IN ALL 4 EXTREMITIES. SEVERE JOINT PAIN AND I COULD NOT WALK OR USE MY HANDS. I COULD NOT WRITE.  I STOPPED THE DRUG 2 1/2 WEEKS NOW. HANDWRITING HAS IMPROVED, I STILL HAVE NUMBNESS AND STILL NEED A TRANSPORT CHAIR. ALL TEST DONE HAVE COME BACK NEGATIVE. I AM CONVINCED IT IS THE DRUG.  ","feb/mar to oct 2015 severe fatigue, muscle weakness.swelling of knees and ankles and feet.","Symptoms are possibly bad: symptoms mentioned but no verb found",fatigue,armimidex
"STARTED ARIMIDEX AUG 2014. FEB/MAR TO OCT 2015 SEVERE FATIGUE, MUSCLE WEAKNESS.SWELLING OF KNEES AND ANKLES AND FEET. FIRST WEEK OF OCT HAD SEVERE BONE PAIN IN FINGERS AND TOES. OCT 10 HAD A LITTLE PROBLEM WALKING. WOKE UP  NEXT DAY WITH NUMB FINGERS AND HANDS, FEET AND TOES. PAIN AND PINS AND NEEDLES IN ALL 4 EXTREMITIES. SEVERE JOINT PAIN AND I COULD NOT WALK OR USE MY HANDS. I COULD NOT WRITE.  I STOPPED THE DRUG 2 1/2 WEEKS NOW. HANDWRITING HAS IMPROVED, I STILL HAVE NUMBNESS AND STILL NEED A TRANSPORT CHAIR. ALL TEST DONE HAVE COME BACK NEGATIVE. I AM CONVINCED IT IS THE DRUG.  ","first week of oct had severe bone pain in fingers and toes.","Symptoms are possibly bad: symptoms mentioned but no verb found","bone pain",armimidex
"STARTED ARIMIDEX AUG 2014. FEB/MAR TO OCT 2015 SEVERE FATIGUE, MUSCLE WEAKNESS.SWELLING OF KNEES AND ANKLES AND FEET. FIRST WEEK OF OCT HAD SEVERE BONE PAIN IN FINGERS AND TOES. OCT 10 HAD A LITTLE PROBLEM WALKING. WOKE UP  NEXT DAY WITH NUMB FINGERS AND HANDS, FEET AND TOES. PAIN AND PINS AND NEEDLES IN ALL 4 EXTREMITIES. SEVERE JOINT PAIN AND I COULD NOT WALK OR USE MY HANDS. I COULD NOT WRITE.  I STOPPED THE DRUG 2 1/2 WEEKS NOW. HANDWRITING HAS IMPROVED, I STILL HAVE NUMBNESS AND STILL NEED A TRANSPORT CHAIR. ALL TEST DONE HAVE COME BACK NEGATIVE. I AM CONVINCED IT IS THE DRUG.  ","pain and pins and needles in all 4 extremities.","Symptoms are possibly bad: symptoms mentioned but no verb found",pain,armimidex
"STARTED ARIMIDEX AUG 2014. FEB/MAR TO OCT 2015 SEVERE FATIGUE, MUSCLE WEAKNESS.SWELLING OF KNEES AND ANKLES AND FEET. FIRST WEEK OF OCT HAD SEVERE BONE PAIN IN FINGERS AND TOES. OCT 10 HAD A LITTLE PROBLEM WALKING. WOKE UP  NEXT DAY WITH NUMB FINGERS AND HANDS, FEET AND TOES. PAIN AND PINS AND NEEDLES IN ALL 4 EXTREMITIES. SEVERE JOINT PAIN AND I COULD NOT WALK OR USE MY HANDS. I COULD NOT WRITE.  I STOPPED THE DRUG 2 1/2 WEEKS NOW. HANDWRITING HAS IMPROVED, I STILL HAVE NUMBNESS AND STILL NEED A TRANSPORT CHAIR. ALL TEST DONE HAVE COME BACK NEGATIVE. I AM CONVINCED IT IS THE DRUG.  ","severe joint pain and i could not walk or use my hands.","Symptoms are possibly bad: symptoms mentioned but no verb found","joint pain",armimidex
"First 2-4 months no problem.  Gradually kept getting alot of side effects.  Have joint pain which progressed to pain all thu body, bone scan shows widespread degenerative disease.  Hot flashes were the worse and as I continued on the medicine they got so bad and started being accompanied with bouts of dizziness, once when driving.  Hot flash so intense gave me a very ill feeling in my body when it was happening and the longer I took the more sever they became.  Did not want to eat because just felt so bad.  Lost weight.  For the past 12 months it these side effects increased in intensity.  Would take pain pills on some days.  Started getting depression because felt so bad.  I quite taking them after 15 months (off now for 2 months).  I am gradually starting to feel better but I am afraid my bones in back may have been effected.  They are starting to crack sound when I turn or move.  Almost makes me feel like that are thining and I am worried now the wrong move can snap a bone in my back.  TERRIBLE TERRIBLE DRUG.  In spite of all this it only increases your chance of cancer not coming back by 2%.  The damage that this drug has caused is worse than the 1 stage of DCIS cancer I had.  Drug companies have got to make money even if it is at the cost of patients lives.  I am looking into more natural things I can do with eating better, exercising and taking vitamins if I need them.  My dr. even said that 2% means cancer may not come back in that breast but can come back somerwhere else even if you are on the med.  I choose quality over quanity. ","have joint pain which progressed to pain all thu body, bone scan shows widespread degenerative disease.","Symptoms are bad: Presence of negative verb + symptoms","joint pain",armimidex
