Post,Sentence,SideEffectsStatus,Drug
"I have had no side effects. I cannot tell that I am taking any medication.","i have had no side effects.","No Side Effects",tamoxifen
"I am 49 was diagnosed 6/08 with a 1cm. breast cancer.  Chose to have  bilateral mastectomies.  Node negative, did not need chemotherapy,but have been on Tamoxifen for 2months.  I have had some hot flashes and insomnia,but the worst symptom has been a very bitter taste in my mouth and dryness.  I am not sure I will stay on Tamoxifen,reviewing the benifits again, and consulting with my oncologist.  Anyone else had these symptions?","i have had some hot flashes and insomnia,but the worst symptom has been a very bitter taste in my mouth and dryness.","Side effects Present - because symptoms mentioned",tamoxifen
"I have been on 10 mg in the morning and 10 mg at night for a year.My worst side effect has been severe joint pain.My toes hurt so bad sometimes that I cry.My legs and knees also hurt.I have gained about 40 pounds and I have a huge belly now.I have alot of vaginal discharge but have no problem with dryness.At first,the hot flashes were horrible but since I started taking Effexor they are not as frequent.I am so glad that it is keeping the cancer away that I will take it regardless of the side effects.","i have been on 10 mg in the morning and 10 mg at night for a year.my worst side effect has been severe joint pain.my toes hurt so bad sometimes that i cry.my legs and knees also hurt.i have gained about 40 pounds and i have a huge belly now.i have alot of vaginal discharge but have no problem with dryness.at first,the hot flashes were horrible but since i started taking effexor they are not as frequent.i am so glad that it is keeping the cancer away that i will take it regardless of the side effects.","Side effects Present - because symptoms mentioned",tamoxifen
"I have been on Tamoxifen for about a year. Initially I had lots of hot flashes and my period stopped almost immediately(yeah!) I'm 46, had stage 1, had chemo, radiation and now on T. I have had some kind of infection in the outer vagina since the beginning and none of my doctors can figure out what it is - anyone else with this proble? Also a constant yeast infection. Also a very dry vagina making sex impossible due to pain. I have told my doctor that after 1 year we will look at alternatives. He will test my hormones to see if I am post menopausal yet, is so, we will switch to an AI. If not, he tells me my only other alternative is steroids. I WILL NOT take them. If necessary I will simply stop taking! The side effects are killing my sex life and my marriage. I have zero sex drive.","the side effects are killing my sex life and my marriage.","Side effects Present - because of no direct inverter word before ",tamoxifen
"Just started in Aug. After mastectomy I am Post menopausal, started having horrible hotflashes very emotional, can't sleep. I am very thankful for no other treatment.  Is there anything to help with hotflashes? Soy,black cohash has anyone tried anything that helps? Will try and continue for awhile longer hopefully side effects will lessen soon.","will try and continue for awhile longer hopefully side effects will lessen soon.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I took this drug for five years in 1989,I am here today because of it.If you want to complain about the side-effects of this drug,you just do not understand the importance for life.","i took this drug for five years in 1989,i am here today because of it.if you want to complain about the side-effects of this drug,you just do not understand the importance for life.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I, like many women on this site, was diagnosed with early breast cancer a year ago.  I had the Mammosite Radiation procedure and a lumpectomy.  
The Oncologist put me on Tamoxofen for 5 years.  In the 9 months that I have been taking this horrible drug, I have had the following side effects:  Loss of sexual desire, vaginal dryness, vaginal discharge, hot flashes, weight gain, fatigue (no matter how much I sleep), and a feeling of being mentally foggy.
As of today, I am going to stop taking it.  After reading everyone's comments, I feel I would be better off seeing if I get my energy back, lose the weight I put on and regain my sex drive.
The negatives far outweigh the positives for me.
Thanks to everyone who took the time to input their comments.","in the 9 months that i have been taking this horrible drug, i have had the following side effects:  loss of sexual desire, vaginal dryness, vaginal discharge, hot flashes, weight gain, fatigue (no matter how much i sleep), and a feeling of being mentally foggy.","Side effects Present - because symptoms mentioned",tamoxifen
"I refuse to take this drug.  i have done extensive research and for me, I do not beleive this will help my 'Quality "" of life.  Way tooo mnay side effects.  i have had a double mastectomy due to satge 2 invasive lobular carcinoma. No radiation was required. My oncologist wants me to take this in case the cancer has spread. They have no way of knowing if it has spread due to the fact that i had a rare undetectable cancer. never showed on the two mamo's i had or the ultrasound. Only a soft tissue MRI showed any growth. I did have chemo and that wiped me out.  The pathology report showed all cancer gone.  I do not want to spend the rest of my life taking drugs to ward off any 'chance' of a reoccurrance elsewhere in the body. Especially, when the drug can give one cancer, and many other health risks.   I would rather live healthy in mind about my decision than second guess a maybe.  Hope this helps some of you.","way tooo mnay side effects.","Side effects Present - because of no direct inverter word before ",tamoxifen
"i'm 47 and have been diagnosed with breast cancer in '99, '06, & '07.  I had 2 lumpectomies, radiation, and bilateral mastectomies.  i've been taking tamoxifen for about a year and a half i think.  i had no peri-menopausal symptoms prior to taking it.  i still don't have hot flashes, night sweats, or anything like that, but my period trickled off and now i've only had 1 period in the past year.  my gynocologist said i have plenty of hormones and am not peri or menopausal.  i never thought i'd miss my period ... i think i've been somewhat depressed since i started taking it.  i've had some very squishy weight gain.  i've had all kinds of gynecological issues that i never use to have.  i've been diagnosed with lichen sclerosis.  i have an ongoing yeast infection and i don't have a history of them.  at least i had a good sex life til i was diagnosed with those, now it hurts to have sex.  i wish i knew more pre-menopausal women on tamoxifen to talk to.  i hate this med but my oncologist doesn't seem to want to talk about anything else.   i don't know if the medicine is ""effective"" for me until i live the rest of my life without getting breast cancer again so i rated that a ""1"".  sure, the medication is ""easy"" to use, i swallow a pill every day.  i'm not sure if tamoxifen is causing my gynecological problems, depression, weight gain, and tiredness, but in case it is, i'll rate ""ease of use"" a ""1"", too.  damn.  i didn't realize how much i sounded like eeyore.  ","i had no peri-menopausal symptoms prior to taking it.","Possibly no side effects",tamoxifen
"While treating for early stage breast cancer after lumpectomy and radiation, had to take this drug. Worst side effects ever. Uncontrollable hot flashes, horrible weight gain, pains and aches. Hot flashes were not controllable even after effexor. Doctor switched me to Evista and although the weight gain is bad, the effects of evista are hardly anything. Am happy i am off the tamoxifen.  Evista has been approved for early stage breast cancer and i am feeling MUCH better, heavier, but better!!","worst side effects ever.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I am 51 and had lumpectomy in June 07 and had 7 weeks of radiation.  Have been on Tamoxifen for 7 months.  Had slight hot flashes for a few months but have since subsided.  No other symptoms at the moment.","no other symptoms at the moment.","Possibly no side effects",tamoxifen
"I have been using 20mg of Tamoxifen 1x per day for the past 9 months for stage 1 IDC.  I haven't noticed any side-effects at all.  I might as well be taking a sugar pill.  I started on Tamoxifen after lumpectomy, abdominal exploratory surgery and 34 rounds of radiation and feel fine.  I'm 42 yrs. old","i haven\'t noticed any side-effects at all.","Possibly no side effects",tamoxifen
"Tamoxifen side effects were worse than the chemotherapy and radiation treatments. I was not able to sleep. I was extremely depressed. The hot flashes were uncontrollable.","tamoxifen side effects were worse than the chemotherapy and radiation treatments.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I was diagnosed with Stage 2 Grade 3 Ductal Carcinoma at age 39. Had chemotherapy first, then lumpectomy, then radiation, then tamoxifen. Been on and off Tamoxifen since July 2007. Finally reached the point where I can't take it anymore. I have foot cramps and sometimes leg cramps. My menstrual flows are inconsistent with heavy bleeding. I have experienced terrible hot flashes and nausea. I was given effexor which adds to my fatigue and too much increases nausea. The worse symptom is the extreme fatigue. It makes me feel like I am becoming ill, and it happens at various times of the day, sometimes only one time per week, sometimes multiple times. The doctor has tested my thyroid and blood sugar, but can't help me. I want to give up even though the doctor tells me it is dangerous for me not to take the pill.","the worse symptom is the extreme fatigue.","Side effects Present - because symptoms mentioned",tamoxifen
"I had stage 2 breast cancer, had bi-lateral mastectomy, chemo.  Started taking Tamoxifen 3 months ago.  Hot flashes for first month then no side effects at all.  My periods stopped during my chemo and came back this past week.  I'm am concerned why they have come back and now considering hystorectomy.  Going to the doctor soon to have questions answered.  ","hot flashes for first month then no side effects at all.","No Side Effects",tamoxifen
"I've been on Tamoxifen for 2 1/2 years for Stage 3 Breast Cancer following bi-lateral mastectomy, chemo and radiation. The hot flashes are tough and I've gained about 10 pounds but that is probably due to lack of exercise and poor eating habits. I have terrible back pain and nerve pain (not sure if it is attributable to Tamoxifen). Some vaginal discharge but most of my symptoms of leg cramps and muscle pain have subsided with time. I have had emotional issues but those too seem to have gotten better with time. My Dr. told me hot flashes are a good thing because they mean the Tamoxifen is working - that makes them bearable. I'll take the side effects if it means I get to see my kids grow up!","some vaginal discharge but most of my symptoms of leg cramps and muscle pain have subsided with time.","Side effects Present - because symptoms mentioned",tamoxifen
"I've been on Tamoxifen for 2 1/2 years for Stage 3 Breast Cancer following bi-lateral mastectomy, chemo and radiation. The hot flashes are tough and I've gained about 10 pounds but that is probably due to lack of exercise and poor eating habits. I have terrible back pain and nerve pain (not sure if it is attributable to Tamoxifen). Some vaginal discharge but most of my symptoms of leg cramps and muscle pain have subsided with time. I have had emotional issues but those too seem to have gotten better with time. My Dr. told me hot flashes are a good thing because they mean the Tamoxifen is working - that makes them bearable. I'll take the side effects if it means I get to see my kids grow up!","i\'ll take the side effects if it means i get to see my kids grow up!","Side effects Present - because of no direct inverter word before ",tamoxifen
"my life has been miserable since I started taking this drug in august.  I am trying to get through this but I am at my wits end.  Started walking and dieting and still weight gain. I can live with that but the hot flashes are unbearable.  I can put up with most side effects from my medications, this is the first to throw me a loop. Havent had a good sleep since starting tamoxifen{two fans in bedroom, window open in winter  zero temperatures] wearing shorts and halters in daytime.  I just want to cry.I was always an easy going,happy  person, now I am tired ,hot and cranky. seeing doctor next week to see if some medication help or change will work. considering going off the drug as I cant live like this.","i can put up with most side effects from my medications, this is the first to throw me a loop.","Side effects Present - because of no direct inverter word before ",tamoxifen
"The first 60 days I experienced severe joint pain and heavy feeling in muscles-aching and mental foggines. I thought you gotta be kidding me.  All those symptoms disappeared after 60 days. I hung in there to give it enough time for my body to synthesize to the medication. The only remarkable issue I am having is a burning sensation around the vulva which I have never experienced prior to using this drug.  Can't seem to get a straight answer from anyone if it is related to the drug.  I will say this-I quit smoking recently using Chantix and I do think it has had a positive effect on mood enhancement due to the way it works with the dopamine receptors in the brain.  The mental fog has cleared that I was experiencing after treatment and early use of tamoxifen and I feel much more like I use to before cancer! ","all those symptoms disappeared after 60 days.","Side effects Present - because of no direct inverter word before ",tamoxifen
"Hate Tamoxifen with a passion - severe side effects - hot flashes, mood swings, weight gain, cramps, memory loss, forgetfulness, loss of motivation.  How come it prevents breast cancer when it is possible to cause three other types of cancer???? Shouldn't it prevent ALL cancers????
If I am on it to stop estrogen dominance, why can't I use natural progesterone cream instead which would do the same job WITHOUT the side effects.?????
Am seeing Specialist tomorrow and WILL NOT USE IT ANY MORE.","hate tamoxifen with a passion - severe side effects - hot flashes, mood swings, weight gain, cramps, memory loss, forgetfulness, loss of motivation.","Side effects Present - because symptoms mentioned",tamoxifen
"Hate Tamoxifen with a passion - severe side effects - hot flashes, mood swings, weight gain, cramps, memory loss, forgetfulness, loss of motivation.  How come it prevents breast cancer when it is possible to cause three other types of cancer???? Shouldn't it prevent ALL cancers????
If I am on it to stop estrogen dominance, why can't I use natural progesterone cream instead which would do the same job WITHOUT the side effects.?????
Am seeing Specialist tomorrow and WILL NOT USE IT ANY MORE.","if i am on it to stop estrogen dominance, why can\'t i use natural progesterone cream instead which would do the same job without the side effects.?????","Possibly no side effects",tamoxifen
"I have been taking Tamoxifen for 6 months following lumpectomy, chemo and radiation for Grade 1 Stage 2 Lobular Carcinoma. Have hot flashes day and night (reduced by using Black Cohosh). Weight gain as well, but dealing with that. Otherwise, no significant negative side effects. Positive - no more menstrual cycles.","otherwise, no significant negative side effects.","Possibly no side effects",tamoxifen
"Experienced all the symptoms of meno-pause plus severe headaches. Never had headaches prior to taking the RX. They are so severe at times  that I have decided to stop treatment.( for the second time) ","experienced all the symptoms of meno-pause plus severe headaches.","Side effects Present - because symptoms mentioned",tamoxifen
"I am very happy that I was able to take it for five years,really no side effects,the pros outweigh the cons.","i am very happy that i was able to take it for five years,really no side effects,the pros outweigh the cons.","No Side Effects",tamoxifen
"i have been on this med since august and have had no side effects","i have been on this med since august and have had no side effects","No Side Effects",tamoxifen
"Been on Tamox. 3 years. I have had very few unbearable symptoms.  Hot flashes (but nothing like the chemo flashes), weight gain, vaginal dryness and odor.  I have the foot and leg cramps occasionally and have just started having some joint pain.  Reading the other reviews helped me realize that it was probably the Tamoxifen causing this.  ","i have had very few unbearable symptoms.","Side effects Present - because of no direct inverter word before ",tamoxifen
"Seven months into taking this, all of my joints started aching unbearably.  Symptoms disappeared when I stopped.  Symptoms reappear after just a few doses.","symptoms disappeared when i stopped.","Side effects Present - because of no direct inverter word before ",tamoxifen
"Seven months into taking this, all of my joints started aching unbearably.  Symptoms disappeared when I stopped.  Symptoms reappear after just a few doses.","symptoms reappear after just a few doses.","Side effects Present - because of no direct inverter word before ",tamoxifen
"I have just started to take this drug, tamoxifen, after having a mastectomy on August 10th.  So far, I haven't had any side effects.","so far, i haven\'t had any side effects.","Possibly no side effects",tamoxifen
"First 2-4 months no problem.  Gradually kept getting alot of side effects.  Have joint pain which progressed to pain all thu body, bone scan shows widespread degenerative disease.  Hot flashes were the worse and as I continued on the medicine they got so bad and started being accompanied with bouts of dizziness, once when driving.  Hot flash so intense gave me a very ill feeling in my body when it was happening and the longer I took the more sever they became.  Did not want to eat because just felt so bad.  Lost weight.  For the past 12 months it these side effects increased in intensity.  Would take pain pills on some days.  Started getting depression because felt so bad.  I quite taking them after 15 months (off now for 2 months).  I am gradually starting to feel better but I am afraid my bones in back may have been effected.  They are starting to crack sound when I turn or move.  Almost makes me feel like that are thining and I am worried now the wrong move can snap a bone in my back.  TERRIBLE TERRIBLE DRUG.  In spite of all this it only increases your chance of cancer not coming back by 2%.  The damage that this drug has caused is worse than the 1 stage of DCIS cancer I had.  Drug companies have got to make money even if it is at the cost of patients lives.  I am looking into more natural things I can do with eating better, exercising and taking vitamins if I need them.  My dr. even said that 2% means cancer may not come back in that breast but can come back somerwhere else even if you are on the med.  I choose quality over quanity. ","gradually kept getting alot of side effects.","Side effects Present - because of no direct inverter word before ",armimidex
"First 2-4 months no problem.  Gradually kept getting alot of side effects.  Have joint pain which progressed to pain all thu body, bone scan shows widespread degenerative disease.  Hot flashes were the worse and as I continued on the medicine they got so bad and started being accompanied with bouts of dizziness, once when driving.  Hot flash so intense gave me a very ill feeling in my body when it was happening and the longer I took the more sever they became.  Did not want to eat because just felt so bad.  Lost weight.  For the past 12 months it these side effects increased in intensity.  Would take pain pills on some days.  Started getting depression because felt so bad.  I quite taking them after 15 months (off now for 2 months).  I am gradually starting to feel better but I am afraid my bones in back may have been effected.  They are starting to crack sound when I turn or move.  Almost makes me feel like that are thining and I am worried now the wrong move can snap a bone in my back.  TERRIBLE TERRIBLE DRUG.  In spite of all this it only increases your chance of cancer not coming back by 2%.  The damage that this drug has caused is worse than the 1 stage of DCIS cancer I had.  Drug companies have got to make money even if it is at the cost of patients lives.  I am looking into more natural things I can do with eating better, exercising and taking vitamins if I need them.  My dr. even said that 2% means cancer may not come back in that breast but can come back somerwhere else even if you are on the med.  I choose quality over quanity. ","for the past 12 months it these side effects increased in intensity.","Side effects Present - because of no direct inverter word before ",armimidex
"I've only been on this drug for 6 months and I stopped it 2 weeks ago I cannot bear the joint and bone pain that it has caused. With the percentage  under 5% that I'll have a reoccurrence of cancer by continuing this drug for the next four and a half years it's not worth it.  I will try tamoxifen but if it also causes serious side effects that are debilitating I will discontinue all hormone blocking drugs and just take my chances it is what it is","i will try tamoxifen but if it also causes serious side effects that are debilitating i will discontinue all hormone blocking drugs and just take my chances it is what it is","Side effects Present - because of no direct inverter word before ",armimidex
"Just finishing 5 miserable years on this drug, for stage 1 estrogen receptor positive breast cancer, a tiny tumor.  Seems like overkill, trying to smash a fly with a sledgehammer.  I doubt I even needed to be on this horrible drug, which caused the following side effects: very stiff and painful joints - especially in the hands and feet, hot flashes, dry mouth, vaginal dryness, heart irregularities (had to be put on heart med to control), tired most days, minimal hair loss.  I feel 20 years older than I am, like a shriveled up old lady. Limping around.  I get off this drug in a month and will be celebrating my 60th birthday - hoping to feel younger instead of older.   If doctors had to experience these side effects, they might prescribe this medication less often.  I don't think it was worth going through 5 years of awful quality of life to lower my chance of a recurrence by just a few percentage points.  It hardly seems worth it, and I regret doing it. It's amazing how most doctors underestimate how awful this drug can be - my gynecologist implied I was being a big baby for complaining about it.  I will not be going back to her again.","i doubt i even needed to be on this horrible drug, which caused the following side effects: very stiff and painful joints - especially in the hands and feet, hot flashes, dry mouth, vaginal dryness, heart irregularities (had to be put on heart med to control), tired most days, minimal hair loss.","Side effects Present - because symptoms mentioned",armimidex
"Just finishing 5 miserable years on this drug, for stage 1 estrogen receptor positive breast cancer, a tiny tumor.  Seems like overkill, trying to smash a fly with a sledgehammer.  I doubt I even needed to be on this horrible drug, which caused the following side effects: very stiff and painful joints - especially in the hands and feet, hot flashes, dry mouth, vaginal dryness, heart irregularities (had to be put on heart med to control), tired most days, minimal hair loss.  I feel 20 years older than I am, like a shriveled up old lady. Limping around.  I get off this drug in a month and will be celebrating my 60th birthday - hoping to feel younger instead of older.   If doctors had to experience these side effects, they might prescribe this medication less often.  I don't think it was worth going through 5 years of awful quality of life to lower my chance of a recurrence by just a few percentage points.  It hardly seems worth it, and I regret doing it. It's amazing how most doctors underestimate how awful this drug can be - my gynecologist implied I was being a big baby for complaining about it.  I will not be going back to her again.","if doctors had to experience these side effects, they might prescribe this medication less often.","Side effects Present - because of no direct inverter word before ",armimidex
"firstly I cannot say anything yet about the effectiveness of the drug as I have only been on it for a short time, so I put what I hope it will be. I was diagnosed in October 2014 with breast cancer had a lumpectomy and sentinel node removal. The cancer had not spread to the nodes, thank god. I had radiotherapy for a month and will be having my final session in two days.I started the drug about 3 months ago. I have had no side effects like the ones that most of you have had. I do have slight pain in the hip area and lower left side. I attended my doctor who said it was a kidney infection, but the pain is still there. I don't know if it has anything got to do with the Arimidex. Apart from that I have no problems as yet with it. I'm so sorry to hear from all of you the pain that you are in, its terrible to go on suffering after all you have gone through with the cancer itself. We will all survive this, you have to have hope ladies, and hopefully another drug can be found that will bring us all back to the health we had before the cancer. Keep your chin up ladies and love life.","i have had no side effects like the ones that most of you have had.","No Side Effects",armimidex
"I had a double mastectomy with 4 positive lymph nodes and was Her2 positive. Spent a year taking Herceptin. I was started on arimidex 2 months before I finished my chemotherapy so did not realize for a while that the fatigue, continued hair loss, nausea, sleep problems and joint pain were because of the arimidex. My diabetes, which had been under control before the arimidex, became unmanageable. My oncologist refused to accept that the arimidex was causing any side effects. A few weeks ago I experienced shortness of breath and chest pains. My oncologist immediately took me off the arimidex while continuing to insist that I was not having side effects from the drug, but that I had heart disease. After a complete battery of tests my cardiologist told my oncologist that there was nothing wrong with my heart. My oncologist prescribed aromisin, which has the same and worse side effects. I have been off of arimidex for 3 weeks and finally feel like I am recovering from my chemotherapy, which actually ended in February (it is now October). I have decided to stop the drugs. I have had a negative PET scan and my blood work continues to show that I am cancer free. At age 65 I would like to live my life, and not merely exist. If the cancer comes back I will deal with it then. I am very happy with my decision but would not recommend it for everyone. You need to decide which is more important to you - doing what your doctor says will help or having a better quality of life. Also, there is no guarantee that the cancer will not recur just because one takes the drug.","my oncologist refused to accept that the arimidex was causing any side effects.","Side effects Present - because of no direct inverter word before ",armimidex
"I had a double mastectomy with 4 positive lymph nodes and was Her2 positive. Spent a year taking Herceptin. I was started on arimidex 2 months before I finished my chemotherapy so did not realize for a while that the fatigue, continued hair loss, nausea, sleep problems and joint pain were because of the arimidex. My diabetes, which had been under control before the arimidex, became unmanageable. My oncologist refused to accept that the arimidex was causing any side effects. A few weeks ago I experienced shortness of breath and chest pains. My oncologist immediately took me off the arimidex while continuing to insist that I was not having side effects from the drug, but that I had heart disease. After a complete battery of tests my cardiologist told my oncologist that there was nothing wrong with my heart. My oncologist prescribed aromisin, which has the same and worse side effects. I have been off of arimidex for 3 weeks and finally feel like I am recovering from my chemotherapy, which actually ended in February (it is now October). I have decided to stop the drugs. I have had a negative PET scan and my blood work continues to show that I am cancer free. At age 65 I would like to live my life, and not merely exist. If the cancer comes back I will deal with it then. I am very happy with my decision but would not recommend it for everyone. You need to decide which is more important to you - doing what your doctor says will help or having a better quality of life. Also, there is no guarantee that the cancer will not recur just because one takes the drug.","my oncologist immediately took me off the arimidex while continuing to insist that i was not having side effects from the drug, but that i had heart disease.","Possibly no side effects",armimidex
"I had a double mastectomy with 4 positive lymph nodes and was Her2 positive. Spent a year taking Herceptin. I was started on arimidex 2 months before I finished my chemotherapy so did not realize for a while that the fatigue, continued hair loss, nausea, sleep problems and joint pain were because of the arimidex. My diabetes, which had been under control before the arimidex, became unmanageable. My oncologist refused to accept that the arimidex was causing any side effects. A few weeks ago I experienced shortness of breath and chest pains. My oncologist immediately took me off the arimidex while continuing to insist that I was not having side effects from the drug, but that I had heart disease. After a complete battery of tests my cardiologist told my oncologist that there was nothing wrong with my heart. My oncologist prescribed aromisin, which has the same and worse side effects. I have been off of arimidex for 3 weeks and finally feel like I am recovering from my chemotherapy, which actually ended in February (it is now October). I have decided to stop the drugs. I have had a negative PET scan and my blood work continues to show that I am cancer free. At age 65 I would like to live my life, and not merely exist. If the cancer comes back I will deal with it then. I am very happy with my decision but would not recommend it for everyone. You need to decide which is more important to you - doing what your doctor says will help or having a better quality of life. Also, there is no guarantee that the cancer will not recur just because one takes the drug.","my oncologist prescribed aromisin, which has the same and worse side effects.","Side effects Present - because of no direct inverter word before ",armimidex
"I had a low grade carcinoma and lumpectomy with two lymph nodes removed both of which were clear as well as the surrounding tissue of the small tumor.  I have been taking the generic form of Arimidex, Anastrozole, for 20 days and have decided to discontinue the use.  I never experience side effects to medications I have taken in the past so I deliberately did not read the insert of side effects so that I wouldn't put the thought into my head that I would experience them.  In this short period of time I have suffered Waves of Nausea, Exhaustion, overall Body Pain that just cannot be alleviated with pain meds, Sleeplessness and Hot Flashes that could smelt iron ore.  I just looked at the side effects two days ago just to make sure I wasn't imagining that I could feel this miserable. The doctor wants me to take Effexor for the hot flashes but I vetoed that idea since I've not read anything positive about attempting to get off of that drug.  Taking one drug to mask the side effects of another just doesn't seem like a sound solution.  Unlike some other reviews I've read, I don't have the luxury of staying home and dealing with the side effects.  I have the responsibility of a job which I need to attend to daily and Arimidex most definitely is not conducive to this way of life.
I wish you all well if you are prescribed this medication.","i never experience side effects to medications i have taken in the past so i deliberately did not read the insert of side effects so that i wouldn\'t put the thought into my head that i would experience them.","Side effects Present - because of no direct inverter word before ",armimidex
"I had a low grade carcinoma and lumpectomy with two lymph nodes removed both of which were clear as well as the surrounding tissue of the small tumor.  I have been taking the generic form of Arimidex, Anastrozole, for 20 days and have decided to discontinue the use.  I never experience side effects to medications I have taken in the past so I deliberately did not read the insert of side effects so that I wouldn't put the thought into my head that I would experience them.  In this short period of time I have suffered Waves of Nausea, Exhaustion, overall Body Pain that just cannot be alleviated with pain meds, Sleeplessness and Hot Flashes that could smelt iron ore.  I just looked at the side effects two days ago just to make sure I wasn't imagining that I could feel this miserable. The doctor wants me to take Effexor for the hot flashes but I vetoed that idea since I've not read anything positive about attempting to get off of that drug.  Taking one drug to mask the side effects of another just doesn't seem like a sound solution.  Unlike some other reviews I've read, I don't have the luxury of staying home and dealing with the side effects.  I have the responsibility of a job which I need to attend to daily and Arimidex most definitely is not conducive to this way of life.
I wish you all well if you are prescribed this medication.","i just looked at the side effects two days ago just to make sure i wasn\'t imagining that i could feel this miserable.","Side effects Present - because of no direct inverter word before ",armimidex
"I had a low grade carcinoma and lumpectomy with two lymph nodes removed both of which were clear as well as the surrounding tissue of the small tumor.  I have been taking the generic form of Arimidex, Anastrozole, for 20 days and have decided to discontinue the use.  I never experience side effects to medications I have taken in the past so I deliberately did not read the insert of side effects so that I wouldn't put the thought into my head that I would experience them.  In this short period of time I have suffered Waves of Nausea, Exhaustion, overall Body Pain that just cannot be alleviated with pain meds, Sleeplessness and Hot Flashes that could smelt iron ore.  I just looked at the side effects two days ago just to make sure I wasn't imagining that I could feel this miserable. The doctor wants me to take Effexor for the hot flashes but I vetoed that idea since I've not read anything positive about attempting to get off of that drug.  Taking one drug to mask the side effects of another just doesn't seem like a sound solution.  Unlike some other reviews I've read, I don't have the luxury of staying home and dealing with the side effects.  I have the responsibility of a job which I need to attend to daily and Arimidex most definitely is not conducive to this way of life.
I wish you all well if you are prescribed this medication.","taking one drug to mask the side effects of another just doesn\'t seem like a sound solution.","Side effects Present - because of no direct inverter word before ",armimidex
"I had a low grade carcinoma and lumpectomy with two lymph nodes removed both of which were clear as well as the surrounding tissue of the small tumor.  I have been taking the generic form of Arimidex, Anastrozole, for 20 days and have decided to discontinue the use.  I never experience side effects to medications I have taken in the past so I deliberately did not read the insert of side effects so that I wouldn't put the thought into my head that I would experience them.  In this short period of time I have suffered Waves of Nausea, Exhaustion, overall Body Pain that just cannot be alleviated with pain meds, Sleeplessness and Hot Flashes that could smelt iron ore.  I just looked at the side effects two days ago just to make sure I wasn't imagining that I could feel this miserable. The doctor wants me to take Effexor for the hot flashes but I vetoed that idea since I've not read anything positive about attempting to get off of that drug.  Taking one drug to mask the side effects of another just doesn't seem like a sound solution.  Unlike some other reviews I've read, I don't have the luxury of staying home and dealing with the side effects.  I have the responsibility of a job which I need to attend to daily and Arimidex most definitely is not conducive to this way of life.
I wish you all well if you are prescribed this medication.","unlike some other reviews i\'ve read, i don\'t have the luxury of staying home and dealing with the side effects.","Side effects Present - because of no direct inverter word before ",armimidex
"Stage 1 Cancer. Lumpectomy Feb 2012 and 7 weeks of radiation. Started Arimidex 2 weeks after surgery.  Exhaustion was blamed on the radiation.  After 18 months, I have stopped the Arimidex.  Oncologist put me on Femera, but the aches and pain were worse. Now I have 6 trigger fingers, constant shoulder and elbow pain. The swelling in my hands and knees have been unbearable.  My blood work indicates that my cholesterol is increasing. Now I am watching my blood pressure increase.  So, no more pills. No more Effexor of hot flashes either.  I do take a Biotin supplement for hair thinning - hair has thickened.  I have chosen quality over quantity for my life.  I have always been extremely active, but this past 1 1/2 yrs has been miserable.  I hope other folks have better luck, but after reading reviews, I am so very grateful to know I am not crazy.  My primary doctor even said my side effects were in my head - which I pointed out the side effects had not affected my head yet!  Good luck folks.  ","my primary doctor even said my side effects were in my head - which i pointed out the side effects had not affected my head yet!","Side effects Present - because of no direct inverter word before ",armimidex
"I have been on anastrazole for about a month an a half. The side effects have been night sweats, dry skin, and inability to sleep. Over all it has been worth it.
","the side effects have been night sweats, dry skin, and inability to sleep.","Side effects Present - because symptoms mentioned",armimidex
"I have been taking this medication for 1 year. I had a lumpectomy and 19 radiation treatments. My cancer was 9 mm. I have had many side effects such as dizziness, bone pain, extreme weakness in my arms, sleepless nights, general exhaustion, tingling and numbness in my toes and fingers.  My radiology oncologist said I should not be feeling this way. I am going to consult my surgeon and consider another medication.","i have had many side effects such as dizziness, bone pain, extreme weakness in my arms, sleepless nights, general exhaustion, tingling and numbness in my toes and fingers.","Side effects Present - because symptoms mentioned",armimidex
"Well, when you consider the alternative...it works well, complete with all side effects. I have been taking it since 2009 and am finally on the last months. I wish everyone good luck. Make sure your care giver understands the problems with this drug. It will help them to deal with all the side effects.","well, when you consider the alternative...it works well, complete with all side effects.","Side effects Present - because of no direct inverter word before ",armimidex
"Well, when you consider the alternative...it works well, complete with all side effects. I have been taking it since 2009 and am finally on the last months. I wish everyone good luck. Make sure your care giver understands the problems with this drug. It will help them to deal with all the side effects.","it will help them to deal with all the side effects.","Side effects Present - because of no direct inverter word before ",armimidex
